Name,Date,Rate,Votes,Genre,Duration,Certificate,Nudity,Violence,Profanity,Alcohol,Frightening
The Judge,2014,7.4,185410,"Crime, Drama",141,R,Mild,None,Moderate,Mild,None
The Imaginarium of Doctor Parnassus,2009,6.8,146954,"Adventure, Comedy, Fantasy",123,PG-13,Mild,Moderate,Mild,Moderate,Moderate
The Chronicles of Narnia: Prince Caspian,2008,6.5,201807,"Action, Adventure, Family",150,PG,None,Moderate,None,None,Moderate
The Little Girl Who Lives Down the Lane,1976,7.0,14452,"Drama, Horror, Mystery",91,PG,Moderate,Moderate,Mild,Mild,Moderate
Billy Elliot,2000,7.7,130745,"Drama, Music",110,R,Mild,Mild,Severe,Mild,Mild
Carriers,2009,6.0,45437,"Action, Adventure, Drama",85,PG-13,None,Moderate,Moderate,Mild,Mild
Red Riding Hood,2011,5.5,110201,"Fantasy, Horror, Mystery",100,PG-13,Mild,Moderate,Mild,Mild,Moderate
Rurôni Kenshin: Sai shûshô - The Beginning,2021,7.5,5981,"Action, Adventure, Drama",137,R,None,Severe,None,Mild,Mild
Prozac Nation,2001,6.3,17724,"Biography, Drama, Romance",95,R,Mild,None,Mild,Mild,Mild
Finding Dory,2016,7.3,255557,"Animation, Adventure, Comedy",97,PG,None,None,None,None,Mild
Society,1989,6.5,16926,"Comedy, Horror",99,R,Moderate,Severe,Moderate,Mild,Moderate
Kings,2017,5.1,3345,"Crime, Drama, Romance",86,R,Moderate,Severe,Moderate,Mild,Moderate
White House Down,2013,6.3,213712,"Action, Drama, Thriller",131,PG-13,None,Moderate,Moderate,Mild,Moderate
On the Basis of Sex,2018,7.1,32093,"Biography, Drama",120,PG-13,None,None,Mild,Mild,None
Midnight Cowboy,1969,7.8,106739,Drama,113,R,Severe,Moderate,Moderate,Mild,Moderate
Whip It,2009,6.9,65845,"Drama, Sport",111,PG-13,Mild,Mild,Moderate,Moderate,Mild
Tales of Halloween,2015,5.5,12568,"Adventure, Comedy, Fantasy",97,R,Mild,Severe,Moderate,Mild,Severe
Breathe,2017,7.2,20767,"Biography, Drama, Romance",118,PG-13,None,Mild,Mild,Mild,Moderate
Brimstone,2016,7.1,38672,"Drama, Mystery, Thriller",148,R,Severe,Severe,Moderate,Mild,Severe
The Time Machine,2002,6.0,121826,"Action, Adventure, Sci-Fi",96,PG-13,None,Mild,Mild,None,Mild
Perfect,1985,4.6,5077,"Drama, Romance",115,R,Mild,None,Moderate,Mild,None
Only the Brave,2017,7.6,63918,"Action, Biography, Drama",134,PG-13,Mild,Mild,Moderate,Mild,Moderate
Margin Call,2011,7.1,122482,"Drama, Thriller",107,R,None,None,Severe,Mild,None
Star Trek II: The Wrath of Khan,1982,7.7,116792,"Action, Adventure, Sci-Fi",113,PG,None,Moderate,Mild,Mild,Moderate
The General's Daughter,1999,6.4,56455,"Crime, Drama, Mystery",116,R,Severe,Severe,Moderate,Mild,Severe
Philadelphia,1993,7.7,232616,Drama,125,PG-13,Mild,None,Moderate,Mild,Mild
Slender Man,2018,3.2,31629,"Horror, Mystery, Thriller",93,PG-13,Mild,Moderate,Mild,Mild,Moderate
Ghost Rider: Spirit of Vengeance,2011,4.3,115071,"Action, Fantasy, Thriller",96,PG-13,Mild,Moderate,Mild,Mild,Moderate
Dead Silence,2007,6.2,90723,"Horror, Mystery, Thriller",89,R,None,Moderate,Mild,Mild,Severe
Rudy,1993,7.5,60323,"Biography, Drama, Sport",114,PG,None,Mild,Moderate,Mild,Mild
A Fish Called Wanda,1988,7.5,137094,"Comedy, Crime",108,R,Moderate,Mild,Moderate,Mild,None
Lord of War,2005,7.6,303622,"Action, Crime, Drama",122,R,Moderate,Severe,Severe,Severe,Moderate
Mask,1985,7.2,27569,"Biography, Drama",120,PG-13,Mild,Mild,Moderate,Moderate,Moderate
The Quick and the Dead,1995,6.4,89706,"Action, Romance, Thriller",107,R,Mild,Severe,Mild,Mild,Moderate
Never Been Kissed,1999,6.1,86966,"Comedy, Drama, Romance",107,PG-13,Mild,None,Mild,Mild,None
Miss Congeniality,2000,6.3,197452,"Action, Comedy, Crime",109,PG-13,Mild,Mild,Mild,Mild,Mild
From Hell,2001,6.8,150921,"Horror, Mystery, Thriller",122,R,Severe,Severe,Moderate,Moderate,Severe
The Poughkeepsie Tapes,2007,6.0,17759,"Horror, Mystery, Thriller",81,R,Severe,Severe,Mild,None,Severe
Belle,2013,7.3,29490,"Biography, Drama, Romance",100,PG,None,Mild,Mild,Mild,Mild
The Beverly Hillbillies,1993,5.0,18032,"Comedy, Family",92,PG,Mild,Mild,Mild,Mild,Mild
"Yes, God, Yes",2019,6.1,13074,"Comedy, Drama",78,R,Moderate,None,Mild,Mild,None
Wander,2020,4.9,8064,Thriller,94,R,None,Mild,None,Mild,Moderate
The Professor and the Madman,2019,7.3,40879,"Biography, Drama",124,R,None,Moderate,None,None,Mild
Land,2021,6.6,5742,"Adventure, Drama",89,PG-13,Mild,Mild,Mild,None,Mild
Majo no takkyûbin,1989,7.9,133758,"Animation, Adventure, Drama",103,G,None,None,None,None,None
Alice Through the Looking Glass,2016,6.2,100442,"Adventure, Family, Fantasy",113,PG,None,Mild,None,None,Mild
Flatliners,1990,6.6,83704,"Drama, Horror, Sci-Fi",115,R,Moderate,Moderate,Moderate,Mild,Moderate
Pitch Black,2000,7.1,231880,"Action, Horror, Sci-Fi",109,R,None,Moderate,Moderate,Mild,Severe
Devil,2010,6.2,140079,"Horror, Mystery, Thriller",80,PG-13,Mild,Moderate,Mild,Mild,Severe
Friends: The Reunion,2021,8.1,52354,"Documentary, Biography, Comedy",104,PG-13,None,None,Mild,None,None
R.I.P.D.,2013,5.6,124870,"Action, Adventure, Comedy",96,PG-13,Mild,Moderate,Moderate,Mild,Mild
